Index Entry,Function Name,Address
359,_ZTSSt9exception,0x8007400
360,_ZTSSt9type_info,0x8007410
361,_ZN2ke17current_exceptionEv,0x8007420
362,_ZN3hal13get_terminateEv,0x800742c
363,_ZN3hal23get_exception_allocatorEv,0x8007438
364,_ZN3hal23set_exception_allocatorEPNSt3pmr15memory_resourceE,0x8007444
365,_ZN9__gnu_cxx20recursive_init_errorC1Ev,0x8007450
366,_ZN9__gnu_cxx20recursive_init_errorC2Ev,0x800745c
367,_ZNK10__cxxabiv117__class_type_info20__do_find_public_srcEiPKvPKS0_S2_,0x8007468
368,_ZTIN10__cxxabiv117__class_type_infoE,0x8007474
369,_ZTIN10__cxxabiv120__si_class_type_infoE,0x8007480
370,_ZTIN9__gnu_cxx20recursive_init_errorE,0x800748c
371,_ZTINSt3pmr12_GLOBAL__N_110null_res_tE,0x8007498
372,_ZTINSt3pmr12_GLOBAL__N_112newdel_res_tE,0x80074a4
373,_ZTISt9bad_alloc,0x80074b0
374,_Unwind_decode_typeinfo_ptr.constprop.0,0x80074bc
375,_ZNKSt3pmr12_GLOBAL__N_110null_res_t11do_is_equalERKNS_15memory_resourceE,0x80074c8
376,_ZNKSt3pmr12_GLOBAL__N_112newdel_res_t11do_is_equalERKNS_15memory_resourceE,0x80074d4
377,_ZNSt3pmr12_GLOBAL__N_112newdel_res_t13do_deallocateEPvjj,0x80074e0
378,__aeabi_atexit,0x80074ec
379,__cxa_atexit,0x80074f8
380,_ZGTtNKSt9exception4whatEv,0x8007504
381,_ZNKSt9bad_alloc4whatEv,0x800750c
382,_ZNKSt9exception4whatEv,0x8007514
383,_ZNSt3pmr12_GLOBAL__N_112newdel_res_t11do_allocateEjj,0x800751c
384,_ZTINSt3pmr15memory_resourceE,0x8007524
385,_ZTISt9exception,0x800752c
386,_ZTISt9type_info,0x8007534
387,_ZNSt3pmr12_GLOBAL__N_110null_res_t11do_allocateEjj,0x800753c
388,_ZdlPvjSt11align_val_t,0x8007544
389,__aeabi_unwind_cpp_pr0,0x800754c
390,__cxa_guard_abort,0x8007554
391,__cxa_guard_release,0x800755c
392,__wrap___cxa_call_unexpected,0x8007564
393,_exit,0x800756c
394,_ZN3hal8cortex_m11dwt_counter16driver_frequencyEv,0x8007574
395,_ZN3hal8cortex_m11dwt_counter22register_cpu_frequencyEf,0x8007578
396,_ZNKSt9type_info14__is_pointer_pEv,0x800757c
397,_ZNKSt9type_info15__is_function_pEv,0x8007580
398,_ZdlPv,0x8007584
399,_ZdlPvSt11align_val_t,0x8007588
400,_ZdlPvj,0x800758c
401,__wrap___cxa_begin_catch,0x8007590
402,_Unwind_DebugHook,0x8007594
403,_Z17terminate_handlerv,0x8007598
404,_ZN12_GLOBAL__N_113constant_initD1Ev,0x800759c
