Linker script written to: demos/sorted_list_lpc4078.ld
CSV file written to: demos/functions-lpc4078.csv

Function Size Summary:
------------------------------------------------------------------------------------------
Index       Size     New Addr Function Name                                     
  270       38 B       0x6230 _ZTSN10__cxxabiv121__vmi_class_type_infoE         
  271       38 B       0x6258 _ZTSNSt3pmr12_GLOBAL__N_112newdel_res_tE          
  272       37 B       0x6280 _ZTSN10__cxxabiv120__si_class_type_infoE          
  273       36 B       0x62a8 _ZTSNSt3pmr12_GLOBAL__N_110null_res_tE            
  274       36 B       0x62cc __wrap___cxa_free_exception                       
  275       35 B       0x62f0 _ZTSN9__gnu_cxx20recursive_init_errorE            
  276       34 B       0x6314 _Unwind_Backtrace                                 
  277       34 B       0x6338 _Unwind_ForcedUnwind                              
  278       34 B       0x635c _Unwind_RaiseException                            
  279       34 B       0x6380 _Unwind_Resume                                    
  280       34 B       0x63a4 _Unwind_Resume_or_Rethrow                         
  281       34 B       0x63c8 _ZTSN10__cxxabiv117__class_type_infoE             
  282       34 B       0x63ec ___Unwind_Backtrace                               
  283       34 B       0x6410 ___Unwind_ForcedUnwind                            
  284       34 B       0x6434 ___Unwind_RaiseException                          
  285       34 B       0x6458 ___Unwind_Resume                                  
  286       34 B       0x647c ___Unwind_Resume_or_Rethrow                       
  287       34 B       0x64a0 main                                              
  288       32 B       0x64c4 _ZN3hal8cortex_m11dwt_counter13driver_uptimeEv    
  289       32 B       0x64e4 _ZSt17__throw_bad_allocv                          
  290       32 B       0x6504 __wrap___cxa_end_catch                            
  291       28 B       0x6524 _ZN10__cxxabiv117__class_type_infoD0Ev            
  292       28 B       0x6540 _ZN10__cxxabiv120__si_class_type_infoD0Ev         
  293       28 B       0x655c _ZN10__cxxabiv121__vmi_class_type_infoD0Ev        
  294       28 B       0x6578 _ZN9__gnu_cxx20recursive_init_errorD0Ev           
  295       28 B       0x6594 _ZNSt9bad_allocD0Ev                               
  296       28 B       0x65b0 _ZTVNSt3pmr12_GLOBAL__N_110null_res_tE            
  297       28 B       0x65cc _ZTVNSt3pmr12_GLOBAL__N_112newdel_res_tE          
  298       28 B       0x65e8 __aeabi_memcpy                                    
  299       28 B       0x6604 __aeabi_memcpy4                                   
  300       28 B       0x6620 __aeabi_memcpy8                                   
  301       28 B       0x663c __wrap___cxa_end_cleanup                          
  302       28 B       0x6658 memcpy                                            
  303       26 B       0x6674 _Unwind_GetGR                                     
  304       26 B       0x6690 _ZNK10__cxxabiv117__class_type_info11__do_upcastEPKS0_PKvRNS0_15__upcast_resultE
  305       26 B       0x66ac _ZTSNSt3pmr15memory_resourceE                     
  306       24 B       0x66c8 _GLOBAL__sub_I___cxa_get_globals_fast             
  307       24 B       0x66e0 _Unwind_SetGR                                     
  308       24 B       0x66f8 _ZN2ke23get_arm_exception_indexEv                 
  309       24 B       0x6710 _ZTVN3hal8cortex_m11dwt_counterE                  
  310       24 B       0x6728 __restore_core_regs                               
  311       24 B       0x6740 restore_core_regs                                 
  312       22 B       0x6758 __wrap___cxa_allocate_exception                   
  313       20 B       0x6770 _ZN10__cxxabiv117__class_type_infoD1Ev            
  314       20 B       0x6784 _ZN10__cxxabiv117__class_type_infoD2Ev            
  315       20 B       0x6798 _ZN10__cxxabiv120__si_class_type_infoD1Ev         
  316       20 B       0x67ac _ZN10__cxxabiv120__si_class_type_infoD2Ev         
  317       20 B       0x67c0 _ZN10__cxxabiv121__vmi_class_type_infoD1Ev        
  318       20 B       0x67d4 _ZN10__cxxabiv121__vmi_class_type_infoD2Ev        
  319       20 B       0x67e8 _ZN3hal13set_terminateEPFvvE                      
  320       20 B       0x67fc _ZN3hal5lpc4025using_external_oscillatorEv        
  321       20 B       0x6810 _ZN9__gnu_cxx20recursive_init_errorD1Ev           
  322       20 B       0x6824 _ZN9__gnu_cxx20recursive_init_errorD2Ev           
  323       20 B       0x6838 _ZNSt9bad_allocD1Ev                               
  324       20 B       0x684c _ZNSt9bad_allocD2Ev                               
  325       20 B       0x6860 _ZSt9terminatev                                   
  326       20 B       0x6874 _ZTVN9__gnu_cxx20recursive_init_errorE            
  327       20 B       0x6888 _ZTVSt9bad_alloc                                  
  328       20 B       0x689c _ZTVSt9exception                                  
  329       20 B       0x68b0 strcmp                                            
  330       18 B       0x68c4 __gnu_Unwind_Resume_or_Rethrow                    
  331       18 B       0x68d8 selfrel_offset31                                  
  332       16 B       0x68ec _ZN10__cxxabiv111__terminateEPFvvE                
  333       16 B       0x68fc _ZSt15get_new_handlerv                            
  334       16 B       0x690c __gnu_Unwind_ForcedUnwind                         
  335       16 B       0x691c memset                                            
  336       14 B       0x692c _GLOBAL__sub_I__ZN10__cxxabiv119__terminate_handlerE
  337       14 B       0x693c _ZNSt3pmr12_GLOBAL__N_110null_res_tD0Ev           
  338       14 B       0x694c _ZNSt3pmr12_GLOBAL__N_112newdel_res_tD0Ev         
  339       14 B       0x695c _ZNSt9exceptionD0Ev                               
  340       14 B       0x696c abort                                             
  341       13 B       0x697c _ZTSSt9bad_alloc                                  
  342       13 B       0x698c _ZTSSt9exception                                  
  343       13 B       0x699c _ZTSSt9type_info                                  
  344       12 B       0x69ac _ZN2ke17current_exceptionEv                       
  345       12 B       0x69b8 _ZN3hal13get_terminateEv                          
  346       12 B       0x69c4 _ZN3hal23get_exception_allocatorEv                
  347       12 B       0x69d0 _ZN3hal23set_exception_allocatorEPNSt3pmr15memory_resourceE
  348       12 B       0x69dc _ZN9__gnu_cxx20recursive_init_errorC1Ev           
  349       12 B       0x69e8 _ZN9__gnu_cxx20recursive_init_errorC2Ev           
  350       12 B       0x69f4 _ZNK10__cxxabiv117__class_type_info20__do_find_public_srcEiPKvPKS0_S2_
  351       12 B       0x6a00 _ZTIN10__cxxabiv117__class_type_infoE             
  352       12 B       0x6a0c _ZTIN10__cxxabiv120__si_class_type_infoE          
  353       12 B       0x6a18 _ZTIN10__cxxabiv121__vmi_class_type_infoE         
  354       12 B       0x6a24 _ZTIN9__gnu_cxx20recursive_init_errorE            
  355       12 B       0x6a30 _ZTINSt3pmr12_GLOBAL__N_110null_res_tE            
  356       12 B       0x6a3c _ZTINSt3pmr12_GLOBAL__N_112newdel_res_tE          
  357       12 B       0x6a48 _ZTISt9bad_alloc                                  
  358       10 B       0x6a54 _Unwind_decode_typeinfo_ptr.constprop.0           
  359       10 B       0x6a60 _ZNKSt3pmr12_GLOBAL__N_110null_res_t11do_is_equalERKNS_15memory_resourceE
  360       10 B       0x6a6c _ZNKSt3pmr12_GLOBAL__N_112newdel_res_t11do_is_equalERKNS_15memory_resourceE
  361       10 B       0x6a78 _ZNSt3pmr12_GLOBAL__N_112newdel_res_t13do_deallocateEPvjj
  362       10 B       0x6a84 __aeabi_atexit                                    
  363       10 B       0x6a90 __cxa_atexit                                      
  364       10 B       0x6a9c __wrap___cxa_begin_catch                          
  365        8 B       0x6aa8 _ZGTtNKSt9exception4whatEv                        
  366        8 B       0x6ab0 _ZN3hal5lpc4010oscillatorL15external_enableE      
  367        8 B       0x6ab8 _ZNKSt9bad_alloc4whatEv                           
  368        8 B       0x6ac0 _ZNKSt9exception4whatEv                           
